Season;Team;cum_mean_GF;cum_mean_GA;cum_mean_Shots;cum_mean_ShotsOT;cum_mean_Corners;cum_mean_Fouls;cum_mean_YC;cum_mean_RC;cum_mean_Points;cum_count_GF;cum_count_GA;cum_count_Shots;cum_count_ShotsOT;cum_count_Corners;cum_count_Fouls;cum_count_YC;cum_count_RC;cum_count_Points
Season 4;Tottenham;2.062209814426178;1.327647952009622;16.037002071388464;5.89195290917015;5.681650680832111;10.947987725681225;2.5953155020663843;0.1309163750332637;1.9618830814055195;703;703;703;703;703;703;703;703;703
Season 4;West Ham;1.6444152261441007;1.5894312408214306;11.589833100412594;3.8103386521971623;4.288709861774441;10.637896426120475;2.3082349808567026;0.11134370622546869;1.551320082061921;703;703;703;703;703;703;703;703;703
Season 4;Wolves;1.239806188043948;1.6368630463222278;12.131139237362397;4.043028312919329;4.143730916325602;12.460179594434777;2.6406307542978666;0.17706758408617163;1.1189647278195671;703;703;703;703;703;703;703;703;703
Season 5;Arsenal;1.82715851638901;0.8075383594409123;13.668848930750778;5.040068723079446;6.125075758814385;11.724778950654775;2.0792844384178193;0.19420457946715466;2.026263301238952;703;703;703;703;703;703;703;703;703
Season 5;Aston Villa;1.5169648587174656;1.4385236823202316;12.381373815561313;4.09195509012874;5.629709730130522;11.428508381928381;2.0805094006242633;0.06383072597237464;1.7030940506266727;703;703;703;703;703;703;703;703;703
Season 5;Bournemouth;1.4421848420915249;1.2178474855747732;15.40712906916724;5.231190461418204;6.224763899724535;12.326229000942169;2.5395202618016075;0.01382744924150795;1.4290391522624206;703;703;703;703;703;703;703;703;703
Season 5;Brentford;1.7164950049633216;1.633926361888734;10.77798502997254;4.799167436133913;4.3032060744197835;7.327964553645562;1.4943819288069262;0.03109760207748214;1.4080399159845065;703;703;703;703;703;703;703;703;703
Season 5;Brighton;1.649966528380274;1.2906482490328612;13.87932835448548;4.656205483016419;5.105288010131088;10.83199947626178;1.9257027941424412;0.04029997369028269;1.6399671152868085;703;703;703;703;703;703;703;703;703
Season 5;Chelsea;1.9131456593422955;1.2300198806868623;14.50490657547061;5.579708631682848;5.646053239845369;11.35456135110372;2.9270448721351836;0.024688474615723096;1.7129993061539412;703;703;703;703;703;703;703;703;703
Season 5;Crystal Palace;1.0016647333399724;1.3537779501896694;13.472748790497691;4.6150954520289265;4.846271101710619;10.82637466579553;2.2551723246101396;0.049883522387046714;0.9231997639206082;703;703;703;703;703;703;703;703;703
Season 5;Everton;0.9044243208188022;1.6039516309154;10.827675131763383;3.3477935734010353;3.8809928015738153;10.912842173861526;1.7945210049999683;0.1228652878041182;0.8747365754718576;703;703;703;703;703;703;703;703;703
Season 5;Fulham;1.341094520759785;1.2446520586474756;13.62427139500578;4.559973783249579;5.572012874394694;11.271150129476933;2.3653399053852477;0.07123959543619766;1.418904932098901;703;703;703;703;703;703;703;703;703
Season 5;Ipswich;0.8640010734124238;1.9535851807161415;8.886046708150666;3.0446883315574085;4.1391688689393815;11.748631793854706;2.4696328863358876;0.09310142429877254;0.5869742351450015;703;703;703;703;703;703;703;703;703
Season 5;Leicester;1.0681883597060962;1.9746572398831546;8.842821672045506;3.0490502888883975;3.2941742326306893;10.927980485600578;2.330415638210922;0.0;0.690755571777534;703;703;703;703;703;703;703;703;703
Season 5;Liverpool;2.1521127283209354;0.7213349393703401;15.97287147191183;6.179124057092145;6.512360145371522;11.59469177053147;1.8921284661868372;0.0372978581577412;2.407834705867779;703;703;703;703;703;703;703;703;703
Season 5;Man City;1.9851759091170416;1.1750040445867398;16.644134984586923;5.955493240291128;7.574602963254823;7.108607588359298;1.835221130165773;0.02571186642858859;1.943310020479666;703;703;703;703;703;703;703;703;703
Season 5;Man United;1.0871364539802293;1.2354896992224587;13.017635713738777;4.66885144495373;5.232774885397255;11.275650517729336;2.3589732986860765;0.07966981840199636;1.2526452015693295;703;703;703;703;703;703;703;703;703
Season 5;Newcastle;1.473714186098633;1.0989768011266117;12.225936951487634;3.9915538161664346;5.543512233380175;10.600984202725853;2.0469448680054034;0.11056805852162278;1.7085290742073984;703;703;703;703;703;703;703;703;703
Season 5;Nott'm Forest;1.3399617263804402;0.9971835165565819;12.929182401038778;4.859976830350155;4.458803705647967;10.837820289500726;2.1535911210048595;0.1018378714292105;1.727532117681905;703;703;703;703;703;703;703;703;703
Season 5;Southampton;0.6090454086626694;2.0604408697372576;9.984349899733527;3.1005876972605337;4.744111881769788;12.033874843649167;2.821673206653053;0.13153774842475702;0.2630276835231912;703;703;703;703;703;703;703;703;703
Season 5;Tottenham;1.9263014350824297;1.2822354838747148;14.830793120179298;5.752066124437696;8.220928242469688;11.193627363705042;1.9445472535523534;0.020053518452129163;1.2554976528363386;703;703;703;703;703;703;703;703;703
Season 5;West Ham;1.1867723525543374;1.702418759159651;13.471533602385945;3.948288978357692;4.421366686730016;12.429869386417684;2.1188796568295105;0.09309406762833874;1.0696824873312565;703;703;703;703;703;703;703;703;703
Season 5;Wolves;1.3205710906252375;2.2792082344202704;10.475220320399307;4.0193720509441055;3.2544854548949114;13.08435888879281;2.322698156128761;0.036687636952554316;0.6499595469865317;703;703;703;703;703;703;703;703;703
